核心模块,子功能分类,核心内容,使用说明,关键配置/依赖
🔐 认证与权限管理,管理员登录,账号：18937766669；密码：admin123；验证码：8888,登录后进入管理控制台，拥有全系统权限,依赖flutter_secure_storage加密存储，硬编码验证逻辑
操作员登录,账号：自定义用户名；密码：123456,登录后进入操作员工作台，仅访问自身数据,数据隔离通过operatorId前缀标识，加密存储专属数据
退出登录,清除本地加密存储的用户信息与令牌,管理员/操作员通用，退出后返回登录页,调用StorageService.clearAll()方法
📱 操作员工作台,店铺管理,展示合作店铺列表（含平台、评分、转化率等信息）,列表式呈现店铺数据，支持快速查看核心指标,模拟数据存储在ShopNotifier，支持扩展对接真实API
AI商务话术生成,"点击""AI沟通""生成80字内合规推广话术",基于店铺类型/评分生成邀约话术，可复制使用,依赖deepseek API，需替换真实_apiKey
聊天记录导入,支持TXT文件/截图导入聊天记录,导入后本地分析关键词与客户意向,依赖file_picker，支持文件选择与本地解析
AR手链试戴,前置摄像头实时叠加虚拟手链效果,底部切换3种珠宝样式，支持拍照保存,依赖camera插件，自定义BraceletOverlayPainter绘制效果
🖥️ 管理员控制台,操作员管理,查看所有操作员状态、今日任务量,"点击""查看""可查看操作员详情与区块链存证",模拟10个操作员数据，支持扩展真实数据对接
操作日志,记录操作员AI功能使用等敏感操作,按时间倒序展示，支持查看详细操作内容,可扩展对接后端日志存储，当前为模拟数据
系统设置,提醒设置、安全日志、收款账户管理,管理员专属配置项，自定义系统功能,支持扩展音效替换、多账户收款管理
📊 核心服务支撑,加密存储服务,用户信息、令牌、操作员专属数据加密存储,自动隔离不同操作员数据，管理员可查看所有数据,采用AES_GCM加密，RSA密钥保护，支持哈希计算
AI分析服务,聊天内容关键词提取、情感判断,自动识别客户意向（正向/投诉），给出应对建议,本地关键词匹配+远程API话术生成，避免敏感数据上传
数据隔离服务,操作员数据互相不可见，管理员可穿透查看,基于operatorId生成专属存储键，确保数据安全,依赖FlutterSecureStorage的加密存储能力
🔧 基础配置,项目环境,SDK版本：>=3.0.0 <4.0.0；编译SDK：34,需使用Android Studio/VS Code配置Flutter环境,最低支持Android 21（Android 5.0）
权限配置,相机、录音、存储、网络等核心权限,安装时自动申请，无权限则对应功能不可用,配置在AndroidManifest.xml，支持Android 13+权限适配
UI适配,设计尺寸375×812，支持屏幕自适应,适配手机主流分辨率，文字/控件自动缩放,依赖flutter_screenutil，支持分屏模式
